rank		instances	precision	recall	f1-score
10	macro measures	3310	0.8757828810020877	0.5069486404833837	0.6421737466513586
11	macro measures	3310	0.8475991649269311	0.4906344410876133	0.6215078453884424
12	macro measures	3310	0.835214446952596	0.4471299093655589	0.5824478551751279
13	macro measures	3310	0.8733681462140992	0.4042296072507553	0.5526641883519207
14	macro measures	3310	0.8416763678696159	0.4368580060422961	0.5751789976133652
15	macro measures	3310	0.8542963885429639	0.41450151057401813	0.5581773799837266
16	macro measures	3310	0.8540462427745664	0.35709969788519635	0.5036216446527482
17	macro measures	3310	0.8218997361477572	0.37643504531722055	0.516369664318276
18	macro measures	3310	0.8488372093023255	0.3528700906344411	0.4985061886470337
19	macro measures	3310	0.8220858895705522	0.3238670694864048	0.46467273515387947
20	macro measures	3310	0.8368580060422961	0.3347432024169184	0.47820457488131207
21	macro measures	3310	0.8367029548989113	0.32507552870090634	0.4682332463011314
22	macro measures	3310	0.843167701863354	0.32809667673716014	0.47237929534580253
23	macro measures	3310	0.8071748878923767	0.32628398791540786	0.4647160068846815
24	macro measures	3310	0.7770800627943485	0.2990936555891239	0.43193717277486915
25	macro measures	3310	0.7889763779527559	0.3027190332326284	0.4375545851528384
26	macro measures	3310	0.8266871165644172	0.3256797583081571	0.46727351538794976
27	macro measures	3310	0.7914691943127962	0.3027190332326284	0.43793706293706286
28	macro measures	3310	0.7936507936507936	0.3021148036253776	0.43763676148796493
29	macro measures	3310	0.7949152542372881	0.28338368580060425	0.4178173719376392
30	macro measures	3310	0.8072100313479624	0.311178247734139	0.4491931966855648
31	macro measures	3310	0.762063227953411	0.2767371601208459	0.40602836879432624
32	macro measures	3310	0.8135593220338984	0.3190332326283988	0.4583333333333333
33	macro measures	3310	0.8003095975232198	0.31238670694864046	0.4493698392003477
34	macro measures	3310	0.7770034843205574	0.26948640483383685	0.40017945266935845
35	macro measures	3310	0.8170347003154574	0.3129909365558912	0.45259938837920494
36	macro measures	3310	0.8138801261829653	0.31178247734138975	0.45085190039318485
37	macro measures	3310	0.7976588628762542	0.2882175226586103	0.42343541944074564
38	macro measures	3310	0.7871674491392802	0.3039274924471299	0.43853530950305136
39	macro measures	3310	0.8063492063492064	0.30694864048338366	0.44463894967177237
40	macro measures	3310	0.8023648648648649	0.28700906344410876	0.42278593680462845
41	macro measures	3310	0.8161094224924013	0.3244712990936556	0.4643320363164721
42	macro measures	3310	0.8217821782178217	0.30090634441087616	0.44051304732419294
43	macro measures	3310	0.8150470219435737	0.31419939577039274	0.45355429568251193
44	macro measures	3310	0.8245901639344262	0.3039274924471299	0.44415011037527585
45	macro measures	3310	0.8276422764227642	0.3075528700906344	0.44845814977973564
46	macro measures	3310	0.8412162162162162	0.30090634441087616	0.4432576769025367
47	macro measures	3310	0.8507462686567164	0.30996978851963747	0.45438441098317095
48	macro measures	3310	0.8240887480190174	0.31419939577039274	0.45494313210848647
49	macro measures	3310	0.8411214953271028	0.32628398791540786	0.4701784936874183
50	macro measures	3310	0.8297520661157025	0.30332326283987915	0.44424778761061945
51	macro measures	3310	0.8333333333333334	0.3323262839879154	0.4751619870410368
52	macro measures	3310	0.8776119402985074	0.3552870090634441	0.5058064516129032
53	macro measures	3310	0.8578512396694215	0.313595166163142	0.45929203539823005
54	macro measures	3310	0.8608247422680413	0.3027190332326284	0.44792132320071526
55	macro measures	3310	0.8739635157545605	0.318429003021148	0.466784765279008
56	macro measures	3310	0.8543247344461306	0.3401812688821752	0.48660328435609335
57	macro measures	3310	0.8799414348462665	0.3631419939577039	0.514114627887083
58	macro measures	3310	0.8616666666666667	0.31238670694864046	0.4585365853658537
59	macro measures	3310	0.8963210702341137	0.3238670694864048	0.47581003106968484
60	macro measures	3310	0.8877245508982036	0.3583081570996979	0.5105467068445975
61	macro measures	3310	0.8892215568862275	0.35891238670694864	0.5114076625053809
62	macro measures	3310	0.8966565349544073	0.3564954682779456	0.5101599654128838
63	macro measures	3310	0.9215384615384615	0.3619335347432024	0.5197396963123644
64	macro measures	3310	0.9006410256410257	0.3395770392749245	0.4931987713909609
65	macro measures	3310	0.8800675675675675	0.3148036253776435	0.463729417000445
66	macro measures	3310	0.9039087947882736	0.33534743202416917	0.4892022917584839
67	macro measures	3310	0.9063032367972743	0.3214501510574018	0.47457627118644063
68	macro measures	3310	0.8962264150943396	0.34441087613293053	0.49759930161501525
69	macro measures	3310	0.8912685337726524	0.3268882175226586	0.47833775419982316
70	macro measures	3310	0.8994974874371859	0.3244712990936556	0.4769094138543517
71	macro measures	3310	0.8969404186795491	0.3365558912386707	0.4894551845342707
72	macro measures	3310	0.927487352445194	0.3323262839879154	0.4893238434163701
73	macro measures	3310	0.9052132701421801	0.34622356495468276	0.5008741258741259
74	macro measures	3310	0.8986384266263238	0.35891238670694864	0.5129533678756476
75	macro measures	3310	0.9141414141414141	0.32809667673716014	0.4828812805691418
76	macro measures	3310	0.9126050420168067	0.32809667673716014	0.4826666666666667
77	macro measures	3310	0.9365853658536586	0.34803625377643505	0.5074889867841409
78	macro measures	3310	0.9352640545144804	0.33172205438066465	0.4897413024085638
79	macro measures	3310	0.9225908372827805	0.3528700906344411	0.5104895104895105
80	macro measures	3310	0.9461172741679873	0.3607250755287009	0.5223097112860893
81	macro measures	3310	0.9137931034482759	0.3202416918429003	0.4742729306487695
82	macro measures	3310	0.934819897084048	0.3293051359516616	0.48704200178731005
83	macro measures	3310	0.9325044404973357	0.31722054380664655	0.4733994589720468
84	macro measures	3310	0.93929173693086	0.3365558912386707	0.4955516014234875
